PAW protein_summary_9 results file
written: Wed Jul 17 11:40:29 2019

 	=subtotal(109,B6:B4149)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
10.0	1	CONT_050|gi|280816|pir||A37343	contaminant	39.8	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	136	5	0.037	17	10	6	3	10	11	7	2	13	9	7	4	13	5	1	2	1	7	8	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	9.078	3.771	0.333	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027481944.1, XP_027481947.1, XP_027482028.1
10.01	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	36.5	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	136	5	0.037	17	10	6	3	10	11	7	2	13	9	7	4	13	5	1	2	1	7	8	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	9.078	3.771	0.333	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027481944.1, XP_027481947.1, XP_027482028.1
11.0	1	CONT_064|gi|254622|bbs|112352	contaminant	67.8	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	904	570	0.631	55	45	56	21	71	57	82	33	51	71	33	26	54	36	36	25	25	62	65	37	29	37	9	47	32	52	21	37	47	20	17	34	24	17	15	13	43	39	50.584	42.556	53.536	18.674	67.810	41.805	77.760	32.273	50.016	64.717	29.056	24.014	49.167	33.769	33.162	23.527	23.167	58.839	60.676	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027430955.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1
11.01	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	67.8	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	904	570	0.631	55	45	56	21	71	57	82	33	51	71	33	26	54	36	36	25	25	62	65	37	29	37	9	47	32	52	21	37	47	20	17	34	24	17	15	13	43	39	50.584	42.556	53.536	18.674	67.810	41.805	77.760	32.273	50.016	64.717	29.056	24.014	49.167	33.769	33.162	23.527	23.167	58.839	60.676	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027430955.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1
12.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	54.4	623	62129	keratin 9, cytoskeletal [Homo sapiens].	687	600	0.873	51	23	48	14	57	35	57	25	34	49	29	41	33	29	32	27	25	38	40	45	19	43	12	50	28	51	22	30	44	27	36	30	25	27	22	20	35	34	51.000	23.000	48.000	14.000	57.000	30.108	57.000	25.000	34.000	49.000	29.000	41.000	33.000	29.000	31.421	26.880	24.481	38.000	39.447	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027480464.1, XP_027480639.1, XP_027481944.1, XP_027481947.1, XP_027482028.1
13.0	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	contaminant	12.7	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	120	0	0.000	9	5	7	3	8	11	11	4	3	7	5	4	10	3	7	3	5	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027430955.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1
14.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	28.6	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	160	0	0.000	16	19	6	4	8	5	3	2	3	5	17	5	23	2	9	6	5	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027444924.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448195.1, XP_027448197.1, XP_027448199.1, XP_027449096.1, XP_027449445.1, XP_027449970.1, XP_027450073.1, XP_027450614.1
14.01	1	CONT_103|gi|2119212|pir||I37982	redundant	28.6	483	53704	Keratin 8 - human [Homo sapiens].	160	0	0.000	16	19	6	4	8	5	3	2	3	5	17	5	23	2	9	6	5	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027444924.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448195.1, XP_027448197.1, XP_027448199.1, XP_027449096.1, XP_027449445.1, XP_027449970.1, XP_027450073.1, XP_027450614.1
14.02	1	CONT_124|gi|105815|pir||A34720	redundant	28.6	483	53748	cytokeratin 8 (version 2) [Homo sapiens].	160	0	0.000	16	19	6	4	8	5	3	2	3	5	17	5	23	2	9	6	5	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027444924.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448195.1, XP_027448197.1, XP_027448199.1, XP_027449096.1, XP_027449445.1, XP_027449970.1, XP_027450073.1, XP_027450614.1
14.03	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	28.6	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	160	0	0.000	16	19	6	4	8	5	3	2	3	5	17	5	23	2	9	6	5	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027444924.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448195.1, XP_027448197.1, XP_027448199.1, XP_027449096.1, XP_027449445.1, XP_027449970.1, XP_027450073.1, XP_027450614.1
